Supply 07/09/2024,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,5592,5602,5617,5621,5612,5593,5588,5587,5600,5596,5607,5643,5653,5658,5684,5659,5633,5650,5636,5646,5678,5677,5685,5681,5671,5656,5635,5599,5589,5581,5559,5554,5524,5490,5487,5459,5445,5416,5421,5399,5415,5369,5346,5345,5315,5320,5330,5309,5297,5312,5305,5301,5263,5230,5193,5170,5156,5159,5159,5141,5136,5172,5169,5194,5215,5256,5274,5243,5217,5220,5212,5237,5343,5484,5725,6031,6355,6818,7286,7732,8336,8993,9644,10289,10972,11673,12395,13152,13829,14388,15092,15710,16289,16810,17241,17693,18074,18381,18706,18995,19252,19463,19657,19812,19942,20119,20252,20394,20488,20614,20727,20769,20819,20824,20865,20923,20962,21007,21015,20992,20977,21126,21167,21189,21197,21219,21253,21263,21104,21215,21204,21205,21224,21221,21220,21194,21183,21179,21172,21136,21128,21104,21114,21089,21008,21185,21190,21183,21147,21109,21051,20995,20960,20926,20878,20857,20856,20887,21006,20990,20879,20904,20904,20890,20925,20927,20921,20906,20868,20910,20936,20862,20824,20807,20807,20776,20783,20789,20784,20738,20665,20604,20605,20596,20540,20538,20403,20324,20225,20190,20092,20085,20071,20042,20000,19924,19817,19715,19714,19646,19619,19511,19432,19320,19248,19173,19089,18976,18852,18722,18467,18156,17896,17632,17380,17107,16802,16388,15938,15518,15003,14392,13784,13134,12447,11745,11061,10429,9816,9211,8702,8110,7566,7121,6714,6389,6124,5913,5758,5614,5523,5550,5589,5551,5598,5650,5709,5761,5852,5960,5981,5964,5977,5964,5918,5865,5846,5861,5828,5808,5806,5824,5831,5912,5967,5997,6011,5999,5961,5906,5836,5804,5771,5704,5662,5598,5615,5633,5638,5635,5618,5608,5589,5564,5555,5556,5606,5618,
Natural gas,15322,15339,15340,15303,15273,15246,15233,15151,15035,14954,14923,14887,14810,14689,14541,14434,14333,14291,14260,14180,14126,14085,14044,14015,13950,13837,13695,13461,13291,13242,13175,13168,13099,13055,13042,13034,13044,13133,13164,13101,13025,12925,12915,12912,12916,12917,12884,12828,12692,12510,12357,12375,12392,12402,12401,12409,12415,12415,12412,12419,12422,12434,12441,12450,12449,12450,12479,12520,12548,12554,12574,12586,12588,12596,12601,12604,12608,12592,12534,12417,12358,12324,12281,12165,11906,11788,11693,11603,11324,11206,10931,10538,10244,10075,9860,9647,9533,9464,9501,9505,9521,9517,9485,9401,9438,9424,9369,9385,9329,9357,9390,9402,9407,9416,9343,9280,9298,9340,9335,9336,9331,9280,9317,9412,9492,9524,9522,9579,9668,9707,9770,9816,9843,9817,9849,10014,10010,9995,10024,10050,10063,10158,10258,10311,10322,10330,10371,10385,10442,10521,10606,10700,10998,11272,11470,11576,11650,11639,11782,12052,12303,12381,12427,12542,12679,12700,12877,12988,13002,13182,13458,13701,13854,13894,13981,14077,14159,14143,14153,14177,14214,14525,14729,14853,14916,14983,15025,14974,14897,14936,15128,15486,15793,16085,16144,16363,16624,16902,17066,17259,17397,17545,17766,17921,18080,18082,18079,18131,18224,18281,18406,18701,19089,19376,19534,19616,19684,19498,19390,19545,19851,20015,20296,20638,20821,20884,20951,21076,21160,21110,20988,21080,21181,21279,21314,21262,21278,21302,21324,21349,21349,21405,21363,21388,21355,21354,21378,21270,21112,21007,20941,20773,20715,20700,20694,20626,20567,20501,20330,20089,19965,19908,19560,19313,19161,18874,18614,18566,18403,18224,18169,17973,17771,17634,17536,17510,17438,16701,16374,16294,16228,16126,16078,15984,15944,15912,15812,15731
Large hydro,3410,3259,3238,3215,3241,3205,3191,3143,3130,3132,3180,3188,3166,3170,3115,3089,3112,3106,3103,3043,2915,2870,2956,2893,2854,2740,2646,2664,2657,2499,2456,2456,2461,2446,2428,2423,2425,2346,2324,2328,2317,2308,2310,2308,2299,2305,2304,2314,2377,2591,2696,2775,2818,2806,2778,2858,2851,2882,2902,2982,3006,3032,2997,2963,3033,3124,3182,3197,3205,3203,3200,3207,3206,3263,3299,3301,3311,3298,3291,3225,3116,3023,2941,2928,2879,2754,2660,2630,2628,2613,2602,2582,2572,2570,2543,2539,2519,2551,2549,2473,2478,2435,2412,2181,2087,2110,2122,2122,2108,2095,2099,2099,2094,2056,2048,2039,2042,2037,2039,2038,2036,2082,2093,2084,2087,2061,2041,2067,2057,2086,2081,2080,1985,1983,1973,1994,1997,1978,2009,2025,2015,1997,1984,1991,2031,2145,2231,2244,2244,2241,2243,2228,2220,2226,2238,2265,2332,2606,2472,2481,2487,2486,2484,2491,2512,2523,2571,2701,2746,2745,2759,2747,2734,2712,2698,2690,2692,2708,2732,2793,2910,3029,3206,3294,3374,3349,3382,3383,3373,3397,3422,3482,3547,3642,3788,3793,3773,3760,3735,3687,3672,3695,3704,3787,3837,3938,4054,4090,4064,4059,4059,4028,3985,4010,4108,4173,4354,4589,4576,4632,4707,4780,4863,4922,4970,4991,5064,4933,4947,4849,4879,4905,4887,4946,5066,5155,5146,5112,5026,5026,4983,4776,4775,4787,4657,4669,4725,4680,4657,4644,4672,4611,4523,4425,4403,4360,4362,4340,4251,4304,4195,4179,4160,4189,4222,4087,3812,3749,3763,3782,3751,3740,3745,3733,3729,3768,3761,3554,3476,3483,3459,3469,3488,3424,3371,3369,3353,3355
Imports,3906,2999,2704,2571,2872,2905,2927,2999,3118,3224,3146,3191,3108,2735,2808,2786,2715,2673,2767,2826,2899,2924,2936,2949,2952,2721,2869,2872,2853,2858,2962,2906,2873,2987,3072,3121,3139,3065,3062,2956,2957,3027,3096,3043,3042,3146,3155,3125,3041,2937,2911,2797,2769,2791,2815,2771,2829,2839,2836,2792,2842,2903,2966,2983,2974,2843,2736,2843,2907,2934,2974,2778,2436,2194,2130,1946,1866,1822,1755,1702,1691,1843,1921,1621,1480,1867,1707,1321,1201,1065,936,925,805,801,767,603,450,962,977,832,778,761,602,520,450,307,227,6,45,-196,-348,-529,-574,-611,-629,-749,-928,-1019,-1178,-1346,-1341,-918,-1022,-1201,-1231,-1358,-1405,-1810,-1868,-1981,-2119,-2324,-2188,-2157,-2207,-2449,-2564,-2626,-2732,-2880,-3161,-3389,-3505,-3666,-3654,-3456,-3293,-3402,-3578,-3680,-3727,-3880,-3997,-4102,-4232,-4394,-4539,-4276,-4129,-4109,-4088,-4253,-4432,-4545,-4748,-4808,-4924,-5323,-5414,-5255,-5220,-5474,-5597,-5748,-5837,-5852,-5696,-5792,-5867,-5794,-5647,-5691,-5819,-5790,-5834,-5693,-5660,-5303,-5120,-4966,-4861,-4708,-4445,-4256,-4091,-4040,-4208,-4358,-4540,-4575,-4431,-4378,-4438,-4438,-4265,-4525,-4531,-4440,-4136,-3981,-3886,-3930,-4069,-3953,-3954,-3786,-3743,-3543,-3105,-3172,-3195,-3086,-3229,-3085,-3149,-2912,-2660,-2375,-2146,-1752,-1416,-1249,-1084,-1066,-1059,-928,-753,-572,-321,-204,-116,-337,-240,-25,19,27,345,435,561,605,394,595,721,515,480,543,596,748,757,1002,1148,1129,1349,1373,1428,1840,2372,2399,2539,2759,2766,2760,2868,2960,3011,2924,2906,3029,3039,2998,3121,3250,3429,3450,3526,3638,3758,3828
Batteries,-962,344,757,786,370,248,70,-25,-182,-407,-552,-777,-766,-395,-432,-395,-380,-449,-642,-687,-735,-808,-1002,-1024,-1043,-588,-527,-340,-231,-114,-217,-246,-210,-322,-441,-549,-589,-505,-460,-345,-327,-303,-401,-374,-394,-546,-568,-528,-371,-326,-224,-194,-219,-205,-159,-163,-169,-196,-212,-238,-223,-220,-123,-79,-68,-19,4,-27,-31,-77,-107,59,334,620,654,607,412,51,-262,-398,-721,-1372,-1931,-2078,-2178,-2741,-2816,-3023,-3211,-3590,-3766,-3994,-4091,-4437,-4566,-4565,-4643,-5271,-5591,-5613,-5881,-6017,-6041,-5812,-5840,-5897,-5942,-5949,-5997,-5903,-5912,-5827,-5858,-5821,-5742,-5647,-5567,-5514,-5389,-5146,-5087,-5509,-5456,-5345,-5358,-5225,-5150,-4867,-4689,-4616,-4465,-4240,-4205,-4141,-4024,-3859,-3594,-3429,-3264,-2989,-2557,-2276,-2010,-1798,-1649,-2153,-2379,-2123,-1779,-1658,-1515,-1259,-1194,-1138,-1006,-717,-623,-863,-953,-1055,-1109,-856,-528,-358,-257,4,161,436,528,-30,-337,-51,181,509,720,826,814,1171,1491,1594,1586,1256,1127,1107,1223,1263,1535,1457,1583,1572,1512,1111,638,-92,-451,-465,-226,-61,182,296,227,248,335,356,167,301,416,521,444,528,694,885,1081,1153,1324,1410,1441,1399,1493,1765,1920,2179,2541,2613,3140,3557,3774,4118,4420,4570,4681,4831,4932,5191,5355,5440,5441,5397,5214,5060,5022,5327,5237,4960,5027,4871,4348,4274,4155,4024,4194,4112,3968,4326,4359,4297,4247,4002,4081,3743,3566,3418,3339,3229,3048,2845,2629,2483,2277,1999,1867,1840,1688,1484,1314,1165,948,1599,1771,1630,1428,1113,719,603,382,63,-99,-310
Nuclear,2269,2270,2270,2270,2270,2270,2271,2270,2271,2270,2270,2270,2271,2271,2271,2271,2272,2272,2272,2272,2272,2272,2273,2272,2273,2271,2272,2270,2270,2271,2269,2270,2270,2270,2269,2270,2269,2269,2268,2269,2268,2269,2268,2268,2267,2268,2266,2268,2269,2268,2267,2268,2268,2268,2269,2268,2268,2268,2269,2268,2268,2268,2268,2267,2268,2269,2269,2269,2270,2270,2269,2269,2270,2269,2267,2269,2269,2270,2268,2269,2268,2268,2268,2268,2269,2267,2268,2268,2267,2267,2266,2268,2266,2266,2266,2265,2265,2264,2263,2261,2262,2261,2260,2260,2260,2260,2260,2260,2259,2259,2261,2260,2261,2260,2260,2261,2260,2261,2261,2262,2262,2260,2261,2261,2262,2262,2261,2262,2263,2263,2263,2261,2261,2261,2262,2261,2262,2261,2260,2260,2261,2261,2262,2261,2262,2262,2262,2263,2264,2264,2263,2264,2264,2264,2265,2264,2264,2263,2265,2264,2265,2265,2264,2264,2265,2265,2265,2265,2266,2265,2265,2265,2266,2266,2267,2267,2266,2266,2267,2267,2267,2267,2268,2267,2266,2264,2264,2266,2265,2266,2266,2266,2266,2265,2265,2265,2266,2265,2266,2266,2266,2267,2267,2267,2266,2267,2267,2268,2268,2269,2268,2269,2269,2269,2269,2270,2269,2268,2269,2269,2269,2270,2270,2270,2270,2270,2269,2270,2270,2270,2270,2270,2270,2270,2270,2269,2269,2269,2268,2268,2268,2268,2269,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2269,2268,2269,2269,2269,2267,2269,2268,2268,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2271,2269,2269
Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
